rho,method,digitized_objective,estimated_reading_uncertainty,notes
0.1,Fixed Hmin,0.491,0.003,"Marker center read from 180 dpi rendering"
0.1,Fixed Hmax,0.417,0.003,"Marker center read from 180 dpi rendering"
0.1,Algorithm 2,0.145,0.003,"Marker center read from 180 dpi rendering"
0.1,Algorithm 1,0.142,0.003,"Red curve read at rho tick"
0.3,Fixed Hmin,0.479,0.003,"Marker center read from 180 dpi rendering"
0.3,Fixed Hmax,0.483,0.003,"Marker center read from 180 dpi rendering"
0.3,Algorithm 2,0.315,0.003,"Marker center read from 180 dpi rendering"
0.3,Algorithm 1,0.310,0.003,"Red curve read at rho tick"
0.5,Fixed Hmin,0.463,0.003,"Marker center read from 180 dpi rendering"
0.5,Fixed Hmax,0.483,0.003,"Marker center read from 180 dpi rendering"
0.5,Algorithm 2,0.387,0.003,"Marker center read from 180 dpi rendering"
0.5,Algorithm 1,0.384,0.003,"Red curve read at rho tick"
0.7,Fixed Hmin,0.438,0.003,"Marker center read from 180 dpi rendering"
0.7,Fixed Hmax,0.457,0.003,"Marker center read from 180 dpi rendering"
0.7,Algorithm 2,0.406,0.003,"Marker center read from 180 dpi rendering"
0.7,Algorithm 1,0.403,0.003,"Red curve read at rho tick"
0.9,Fixed Hmin,0.400,0.003,"Marker center read from 180 dpi rendering"
0.9,Fixed Hmax,0.406,0.003,"Marker center read from 180 dpi rendering"
0.9,Algorithm 2,0.390,0.003,"Marker center read from 180 dpi rendering"
0.9,Algorithm 1,0.390,0.003,"Red curve read at rho tick"
