theta1_deg,theta2_deg,theta3_deg,r1_m,r2_m,phi1_deg,phi2_deg,rho,h_star_m,obj_star
-62.8414,32.5988,62.4599,185.886,146.4317,6.8277,-16.6921,0.7471,172.222,0.493513520114276
-29.5072,-6.2573,30.9672,75.2023,59.8025,50.999,56.504,0.5809,72.222,0.2741469006107919
-24.7454,42.4449,69.9563,61.4543,53.4451,6.9382,51.6308,0.8482,55.556,0.5301559583717891
-65.1691,-46.8828,-10.4042,135.2017,45.7254,-31.6802,34.4862,0.7681,116.667,0.555209616848305
-25.159,3.1337,69.0559,42.1349,154.8087,-8.882,3.8969,0.1828,105.556,0.2637031456578225
-45.7448,-22.6531,64.8913,146.0012,179.4138,-71.2685,-52.6981,0.6914,172.222,0.500398309056059
-61.3533,-24.937,69.7522,146.6244,54.0706,-37.6843,-75.8988,0.6275,127.778,0.6071504694935841
0.9756,33.4147,53.2526,170.3222,50.794,45.445,-8.3095,0.8515,150.0,0.45155063859702155
6.2751,25.0454,54.7658,94.097,138.6934,-78.8227,-76.5645,0.1833,116.667,0.20668655849656434
-11.9648,5.1779,34.3372,120.6229,197.8368,32.5424,8.9744,0.2028,161.111,0.06693098721780547
-29.3728,1.1929,68.868,51.9048,156.1495,-0.5519,-58.2966,0.5715,127.778,0.418869327579554
-40.4689,-7.7833,56.8263,195.1166,67.2656,80.4128,-53.935,0.1677,161.111,0.3727468130193893
-19.4847,8.4261,56.5559,53.7201,42.7549,-59.0915,-75.3258,0.4967,50.0,0.36969888937307394
3.1814,27.1638,53.8399,121.2589,191.8077,12.2197,-31.8713,0.5864,172.222,0.3139233415774349
-33.7458,42.7572,66.5867,90.051,197.8608,48.6404,72.0244,0.462,172.222,0.4130259667849018
-39.3959,-22.7632,18.2851,197.9132,171.3586,76.8706,67.0729,0.6353,194.444,0.40462084366287915
-63.0145,15.5443,56.6992,190.4539,126.5424,-1.5851,-46.0504,0.3037,161.111,0.23614911520067972
-42.2378,22.5548,56.7449,135.1265,80.7697,12.4419,-77.8466,0.4872,116.667,0.42945002955683054
-68.3381,-7.7452,35.3191,139.4652,31.2467,68.1441,-65.2146,0.1013,105.556,0.36841977998032666
-34.9018,-16.9004,26.1442,162.8055,69.871,-46.7407,-35.717,0.8364,138.889,0.3530017368099043
-55.4407,1.3037,57.0389,56.3518,82.5858,14.4749,65.3841,0.6856,72.222,0.4022473793173655
